Description,Product Code,Gender,Product Area,Product Type,Style,Short Web Description,Neckline/Collar,End Use,Fit,Heel Height,Fabric Type,Length,Pattern,Sleeve Length,Water Resistance,Main/Upper Comp,Lining Comp,Sole Comp,Washcare Label,Washing Instructions,Drying Instructions,Ironing Instructions,Range,Packing Format,Long Web Description,Height (cm),Width (cm),Depth (cm),Length (cm),Model Wears,Exclusive,Colour,Product Group,Crew Type,Design Colour,Size,SKU,Vat Code,Style Code,EAN,Supplier ID,Country of Origin,Commodity Code,Season,Phase,Style ID,Option ID,SKU ID,Price Level,Product Template,Age of Intake,Product Segment,Web Exclusive,Cost Price,Live Date,Volume (ml),Outfit 1,Outfit 2,Outfit 3,Outfit 4,Wiring,Padding,Dangerous Goods,Colour Group,Weight (kg),Discontinued,Eco Friendly,Web Length (cm),Model Height,Waistband Position,Toe Style,Heel Type,Fastening,Non-Returnable,High Value,Markdown,John Lewis Product Code,Product Created,Last Updated
COLOUR BLOCK FLAT,WMR020_LEOPARD,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,LEOPARD,37,1192531,H,WMR020,5054409679874,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_LEOPARD,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,LEOPARD,38,1192532,H,WMR020,5054409679881,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_LEOPARD,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,LEOPARD,39,1192533,H,WMR020,5054409679898,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_LEOPARD,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,LEOPARD,40,1192534,H,WMR020,5054409679904,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_REDPINK,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,REDPINK,41,1192535,H,WMR020,5054409679911,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:58
COLOUR BLOCK FLAT,WMR020_REDPINK,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,REDPINK,37,1192536,H,WMR020,5054409679928,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,13.35,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_REDPINK,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,REDPINK,38,1192537,H,WMR020,5054409679942,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:58
COLOUR BLOCK FLAT,WMR020_REDPINK,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,REDPINK,39,1192538,H,WMR020,5054409680016,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,13.35,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_REDPINK,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,REDPINK,40,1192539,H,WMR020,5054409680023,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,13.35,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:58
PRINT CHINO SHORT,OMMG011_BISCUIT,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5700: Shorts,BISCUIT,L,1193432,H,OMMG011,5054409733613,SRG APPARELL (USD),BGD,6203429000,OM SS22,April,500_5416,,,,,,,Web Exclusive Test,5.34,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:13
