Date,Site Hierarchy,Distribution Channel,EAN,UPC,Article Variant,Full / Reduced Price,Sales (Units),Sales Revenue Inc Vat
7/29/2023,E-Commerce (4501),DIRECT,5059595782711,21553479,000000022563821003,Full Price,-1.00,-55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595782872,21548512,000000022563820003,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5059595783022,24622752,000000022560302004,Full Price,-1.00,-35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595783039,24622806,000000022560302005,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595783077,24627894,000000022560303005,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595783138,6789503,000000022569600005,Full Price,2.00,70.00
7/29/2023,E-Commerce (4501),DIRECT,5059595784548,24615679,000000022560321004,Reduced,1.00,42.00
7/29/2023,E-Commerce (4501),DIRECT,5059595785408,24008952,000000022565108004,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595785507,24008983,000000022565108007,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595786108,24616317,000000022559983003,Reduced,1.00,38.00
7/29/2023,E-Commerce (4501),DIRECT,5059595786115,24616331,000000022559983004,Reduced,1.00,38.00
7/29/2023,E-Commerce (4501),DIRECT,5059595786269,24616409,000000022559984005,Reduced,1.00,33.00
7/29/2023,E-Commerce (4501),DIRECT,5059595793120,24614320,000000022560212005,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595793144,24614306,000000022560212004,Full Price,-1.00,-55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595793168,24614283,000000022560212003,Full Price,-1.00,-55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595794950,23970601,000000022564927005,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5059595795407,24382083,000000022562739003,Reduced,1.00,40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595795421,24382298,000000022562739004,Reduced,1.00,40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595795438,24382519,000000022562739005,Reduced,-1.00,-40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595796336,23970670,000000022564929005,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5059595806387,4856825,000000022567814004,Full Price,-1.00,-129.00
7/29/2023,E-Commerce (4501),DIRECT,5059595806448,5010202,000000022568432005,Full Price,1.00,129.00
7/29/2023,E-Commerce (4501),DIRECT,5059595810292,24549448,000000022559857005,Reduced,2.00,70.00
7/29/2023,E-Commerce (4501),DIRECT,5059595810711,24612890,000000022559997003,Reduced,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595811367,24628945,000000022560111005,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595811442,23886278,000000022562594005,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595811534,24615006,000000022560213004,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595811541,24615013,000000022560213005,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595811596,24615044,000000022560213007,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595824176,23887701,000000022562549004,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595824763,5855452,000000022569587004,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595824794,23999848,000000022565094004,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595825128,24381987,000000022562694004,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595825135,24382564,000000022562694003,Full Price,1.00,69.00
7/29/2023,E-Commerce (4501),DIRECT,5059595830078,24613958,000000022560018005,Full Price,1.00,49.00
7/29/2023,E-Commerce (4501),DIRECT,5059595830849,23887770,000000022562555004,Reduced,-1.00,-45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595830870,23887800,000000022562555007,Reduced,-1.00,-45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595840602,21534584,000000022563815004,Reduced,-1.00,-55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595840831,7001789,000000022566753005,Full Price,-1.00,-79.00
7/29/2023,E-Commerce (4501),DIRECT,5059595840848,7001888,000000022566753006,Full Price,-1.00,-79.00
7/29/2023,E-Commerce (4501),DIRECT,5059595840909,4933526,000000022567790005,Full Price,1.00,39.00
7/29/2023,E-Commerce (4501),DIRECT,5059595840978,7071454,000000022566694005,Full Price,1.00,39.00
7/29/2023,E-Commerce (4501),DIRECT,5059595841081,24004411,000000022565245003,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595841432,24001113,000000022565020002,Full Price,0.00,0.00
7/29/2023,E-Commerce (4501),DIRECT,5059595841609,24001601,000000022565157006,Full Price,1.00,39.00
7/29/2023,E-Commerce (4501),DIRECT,5059595841616,24001595,000000022565157005,Full Price,1.00,39.00
7/29/2023,E-Commerce (4501),DIRECT,5059595842446,4708544,000000022567346006,Full Price,1.00,85.00
7/29/2023,E-Commerce (4501),DIRECT,5059595842460,4709107,000000022567346007,Full Price,1.00,85.00
7/29/2023,E-Commerce (4501),DIRECT,5059595848714,24004732,000000022565013001,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595848745,24004763,000000022565013004,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595852063,24001038,000000022565003005,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5059595852568,6943028,000000022566698006,Full Price,-1.00,-129.00
7/29/2023,E-Commerce (4501),DIRECT,5059595852629,23999893,000000022565007004,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5059595853381,24003414,000000022565240006,Full Price,2.00,44.00
7/29/2023,E-Commerce (4501),DIRECT,5059595853510,24003421,000000022565240007,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595853770,24000338,000000022565237007,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595853848,24001335,000000022565238007,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595854401,24003353,000000022565155007,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595854425,24002066,000000022565156003,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595855132,23875807,000000022563816005,Full Price,1.00,89.00
7/29/2023,E-Commerce (4501),DIRECT,5059595858508,24383530,000000022562801006,Full Price,1.00,16.00
7/29/2023,E-Commerce (4501),DIRECT,5059595858515,5037582,000000022567813002,Full Price,1.00,16.00
7/29/2023,E-Commerce (4501),DIRECT,5059595858645,24386760,000000022562728003,Full Price,1.00,16.00
7/29/2023,E-Commerce (4501),DIRECT,5059595859017,24380980,000000022562725004,Reduced,-1.00,-29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595859352,6998387,000000022566734007,Full Price,-1.00,-89.00
7/29/2023,E-Commerce (4501),DIRECT,5059595860754,7123269,000000022566790005,Full Price,1.00,69.00
7/29/2023,E-Commerce (4501),DIRECT,5059595867111,24385381,000000022562825005,Full Price,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595887164,24382359,000000022562840004,Full Price,1.00,25.00
7/29/2023,E-Commerce (4501),DIRECT,5059595888574,24381826,000000022562832003,Full Price,1.00,25.00
7/29/2023,E-Commerce (4501),DIRECT,5059595890874,24001236,000000022564999004,Full Price,1.00,27.00
7/29/2023,E-Commerce (4501),DIRECT,5059595894735,23949874,000000022563825002,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5059595895060,6983949,000000022566818003,Full Price,-1.00,-29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595895084,6984144,000000022566818005,Full Price,-1.00,-29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595895114,6955120,000000022566817002,Full Price,1.00,29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595895169,24088732,000000022568411002,Full Price,1.00,29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898092,7109744,000000022566828003,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898115,7110573,000000022566828004,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898245,7015311,000000022566811003,Full Price,1.00,29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898474,7011009,000000022566813002,Full Price,1.00,29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898528,7020117,000000022566812002,Full Price,1.00,29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898580,6927738,000000022566814003,Full Price,1.00,29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898580,6927738,000000022566814003,Full Price,-1.00,-29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898603,6929022,000000022566814004,Full Price,1.00,29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898603,6929022,000000022566814004,Full Price,-1.00,-29.00
7/29/2023,E-Commerce (4501),DIRECT,5059595898610,6929176,000000022566814005,Full Price,-1.00,-29.00
